nomprimitive,value
FN14,0.1652365804092507
FN18,-18.66655005244569
FB5,False
FN5,99.84200322874926
FN10,92.96403715625648
FN7,56.05824434238176
FN11,39.324472028012416
FB4,False
FB1,False
FN1,-93.82072769633604
FN9,5.271995741472835
FB6,False
FN6,71.73547497725158
FN23,15.32599437485448
FN17,14567.093429663231
FN3,3.4046336277906253
FN8,10.253606153997508
FN4,79.49658852071899
FN16,32.882892849145804
FN2,0.272952183532551
FB2,True
FN12,71.05489949933836
FN22,473.71165227833694
FN15,-0.5285413174026989
FB3,True
FN21,204.4911203142848
FN13,3057.686381166867
FB7,True
FN19,46.79047317133311
FN20,45551.69259199089
FN14,0.1388091007372788
FN18,96.47283352403434
FB5,False
FN5,29.99660961738586
FN10,33.785323806307176
FB4,True
FN7,24.60996336292769
FN11,82.1743282466604
FN1,-100.76614311249996
FN9,32.263714753998165
FB6,False
FN6,84.34615428016005
FN23,27.387615045327628
FN17,21806.04831860147
FN4,30.04321037887546
FN8,68.76737539122519
FN16,8.075105103614089
FN3,17.151018780477735
FN2,2.041848214391919
FB2,True
FN12,5.061229399618384
FN22,290.778425022632
FN15,0.2391808208005885
FN21,87.29797216784071
FB3,True
FN13,2421.0922260046927
FN19,88.15849448659527
FB7,False
FN20,28659.15988690147
FN14,0.440677851487962
FN18,-41.33899748350813
FB5,False
FN5,88.28223338480295
FB4,False
FN11,26.311524019559407
FN1,-91.97523798633176
FB6,False
FN3,18.43488289983759
FN16,170.88506776104816
FN4,2.3437399134627723
FN12,29.68162723002396
FN2,13.27533468031845
FN15,-0.926050647733652
FN21,185.6525954026558
FB3,True
FN13,7623.095192739793
FN14,0.2458153652234025
FN18,-85.43425966174327
FB5,False
FN5,36.96761119078001
FN10,77.92121471717326
FN7,1.196616083522739
FB4,False
FN11,45.29889087336622
FN9,61.10793436730019
FN1,-85.86361098338283
FB1,False
FB6,False
FN6,30.88391662462985
FN23,24.12777077257521
FN4,42.30736763233868
FN16,667.8033405395439
FN3,8.701270893090253
FN2,1.83216382184914
FN12,60.23349739327899
FB2,True
FN22,605.0574769492281
FN21,202.67145605099105
FB3,False
